ID,Üniversite,Yerleşke Adı,İl,Lat,Lng
1001-merkez-kampus,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1001-bolu-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","BOLU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1001-bolu-tekni-k-bi-li-mler-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","BOLU TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1001-gerede-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","GEREDE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1001-mehmet-tanrikulu-saglik-hi-zmetleri-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","MEHMET TANRIKULU SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1001-mengen-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","MENGEN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1001-mudurnu-sureyya-astarci-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","MUDURNU SÜREYYA ASTARCI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1001-yeni-caga-yasar-celi-k-meslek-yuksekokulu,"ABANT İZZET BAYSAL ÜNİVERSİTESİ","YENİÇAĞA YAŞAR ÇELİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1002-merkez-kampus,"ADIYAMAN ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1002-zi-raat-fakultesi-kahta,"ADIYAMAN ÜNİVERSİTESİ","ZİRAAT FAKÜLTESİ (Kahta)","DEVLET ÜNIVERSITESI",,
1002-besni-ali-erdemoglu-meslek-yuksekokulu,"ADIYAMAN ÜNİVERSİTESİ","BESNİ ALİ ERDEMOĞLU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1002-golbasi-meslek-yuksekokulu,"ADIYAMAN ÜNİVERSİTESİ","GÖLBAŞI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1002-kahta-meslek-yuksekokulu,"ADIYAMAN ÜNİVERSİTESİ","KAHTA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1002-saglik-hi-zmetleri-meslek-yuksekokulu,"ADIYAMAN ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1002-sosyal-bi-li-mler-meslek-yuksekokulu,"ADIYAMAN ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1002-tekni-k-bi-li-mler-meslek-yuksekokulu,"ADIYAMAN ÜNİVERSİTESİ","TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-merkez-kampus,"ADNAN MENDERES ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1003-aydin-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","AYDIN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-aydin-saglik-hi-zmetleri-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","AYDIN SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-bozdogan-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","BOZDOĞAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-ci-ne-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","ÇİNE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-di-di-m-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","DİDİM MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-germenci-k-yamanturk-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","GERMENCİK YAMANTÜRK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-karacasu-memnune-i-nci-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","KARACASU MEMNUNE İNCİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-kocarli-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","KOÇARLI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-kosk-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","KÖŞK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1003-kusadasi-davutlar-meslek-yuksekokulu,"ADNAN MENDERES ÜNİVERSİTESİ","KUŞADASI DAVUTLAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
